,latency,x_pos,z_pos,x_conv,z_conv,nodeNr,in_nodeRadius,neighbours,num_neighbours,closest_to_nodeCentroid,node_1st_half,time_diff,time_diff_normalized,distance_to_next,distance_difference
0,1.234,-58.99,34.75,95.97,78.7225,,0,,,0,0,,,0.0,
1,1.323,-58.55,34.84,96.08,78.745,76.0,1,"[56, 60, 90]",3.0,0,1,,,0.11227755786442914,0.11227755786442914
2,1.423,-58.06,34.9,96.2025,78.75999999999999,76.0,1,"[56, 60, 90]",3.0,0,1,,,0.23569250833640457,0.12341495047197543
3,1.534,-57.51,34.97,96.34,78.7775,76.0,1,"[56, 60, 90]",3.0,0,1,,,0.3743016710927001,0.1386091627562955
4,1.642,-56.95,35.04,96.48,78.795,76.0,1,"[56, 60, 90]",3.0,0,1,,,0.5153911816879251,0.141089510595225
5,1.856,-56.74,35.07,96.5325,78.8025,76.0,1,"[56, 60, 90]",3.0,0,1,,,0.5684241902769102,0.053033008588985076
6,1.956,-57.23,35.16,96.41,78.82499999999999,76.0,1,"[56, 60, 90]",3.0,0,1,,,0.6929733773477228,0.12454918707081264
7,2.621,-57.58,35.31,96.3225,78.8625,76.0,1,"[56, 60, 90]",3.0,0,1,,,0.7881705411710171,0.09519716382329435
8,3.176,-57.59,35.3,96.32,78.86,76.0,1,"[56, 60, 90]",3.0,0,1,,,0.7917060750769567,0.003535533905939525
9,3.287,-57.33,34.99,96.385,78.7825,76.0,1,"[56, 60, 90]",3.0,0,1,,,0.8928557166976843,0.10114964162072759
10,3.399,-57.0,34.63,96.4675,78.6925,76.0,1,"[56, 60, 90]",3.0,0,1,,,1.014946871168432,0.1220911544707477
11,3.51,-56.6,34.31,96.5675,78.6125,76.0,1,"[56, 60, 90]",3.0,0,1,,,1.1430093559170835,0.12806248474865156
12,3.621,-56.1,34.08,96.6925,78.55499999999999,76.0,1,"[56, 60, 90]",3.0,0,1,,,1.2806002349752554,0.1375908790581719
13,3.732,-55.62,33.94,96.8125,78.52,76.0,1,"[56, 60, 90]",3.0,0,1,,,1.4056002349752588,0.12500000000000333
14,3.843,-55.14,33.8,96.9325,78.485,76.0,1,"[56, 60, 90]",3.0,0,1,,,1.530600234975262,0.12500000000000333
15,3.954,-54.63,33.58,97.06,78.42999999999999,76.0,1,"[56, 60, 90]",3.0,0,1,,,1.6694571757452508,0.13885694076998867
16,4.065,-54.49,33.49,97.095,78.4075,76.0,1,"[56, 60, 90]",3.0,0,1,,,1.7110654681879776,0.04160829244272679
17,4.398,-54.46,33.58,97.1025,78.42999999999999,76.0,1,"[56, 60, 90]",3.0,0,1,,,1.734782550639237,0.023717082451259364
18,4.509,-54.18,33.97,97.1725,78.5275,76.0,1,"[56, 60, 90]",3.0,0,1,,,1.8548085894808197,0.1200260388415828
19,4.62,-53.81,34.38,97.265,78.63,76.0,1,"[56, 60, 90]",3.0,0,1,,,1.9928756021956553,0.13806701271483557
20,4.731,-53.43,34.78,97.36,78.72999999999999,76.0,1,"[56, 60, 90]",3.0,0,1,,,2.130806744436988,0.13793114224133252
21,4.843,-53.05,35.19,97.455,78.8325,76.0,1,"[56, 60, 90]",3.0,0,1,,,2.2705609930307284,0.13975424859374064
22,4.954,-52.65,35.56,97.555,78.925,76.0,1,"[56, 60, 90]",3.0,0,1,,,2.4067823202889884,0.13622132725825997
23,5.064,-52.17,35.82,97.675,78.99,76.0,1,"[56, 60, 90]",3.0,0,1,,,2.5432557609285404,0.13647344063955202
24,5.175,-51.64,35.96,97.8075,79.02499999999999,76.0,1,"[56, 60, 90]",3.0,0,1,,,2.680300461665204,0.13704470073666375
25,5.287,-51.1,36.09,97.9425,79.0575,76.0,1,"[56, 60, 90]",3.0,0,1,,,2.8191574024351866,0.13885694076998245
26,5.397,-50.56,36.24,98.0775,79.095,76.0,1,"[56, 60, 90]",3.0,0,1,,,2.959268965127211,0.14011156269202418
27,5.509,-50.12,36.56,98.1875,79.175,76.0,1,"[56, 60, 90]",3.0,0,1,,,3.0952836702145636,0.1360147050873528
28,5.62,-49.7,36.93,98.2925,79.2675,76.0,1,"[56, 60, 90]",3.0,0,1,,,3.2352166899061325,0.1399330196915689
29,5.73,-49.32,37.33,98.3875,79.36749999999999,76.0,1,"[56, 60, 90]",3.0,0,1,,,3.373147832147465,0.13793114224133252
30,5.842,-48.95,37.75,98.48,79.4725,76.0,1,"[56, 60, 90]",3.0,0,1,,,3.513080851839034,0.1399330196915689
31,5.953,-48.6,38.18,98.5675,79.58,76.0,1,"[56, 60, 90]",3.0,0,1,,,3.651690014595321,0.13860916275628687
32,6.064,-48.26,38.62,98.6525,79.69,76.0,1,"[56, 60, 90]",3.0,0,1,,,3.7907044023399035,0.13901438774458263
33,6.175,-47.92,39.06,98.7375,79.8,76.0,1,"[56, 60, 90]",3.0,0,1,,,3.9297187900844777,0.1390143877445742
34,6.286,-47.6,39.5,98.8175,79.91,76.0,1,"[56, 60, 90]",3.0,0,1,,,4.0657334951718305,0.1360147050873528
35,6.397,-47.28,39.95,98.89750000000001,80.0225,76.0,1,"[56, 60, 90]",3.0,0,1,,,4.203777872094621,0.1380443769227906
36,6.508,-46.98,40.41,98.9725,80.13749999999999,76.0,1,"[56, 60, 90]",3.0,0,1,,,4.34107317427207,0.13729530217744923
37,6.619,-46.69,40.88,99.045,80.255,76.0,1,"[56, 60, 90]",3.0,0,1,,,4.479140186986919,0.1380670127148491
38,6.73,-46.42,41.36,99.1125,80.375,76.0,1,"[56, 60, 90]",3.0,0,1,,,4.616821885117065,0.1376816981301454
39,6.841,-46.19,41.86,99.17,80.5,76.0,1,"[56, 60, 90]",3.0,0,1,,,4.754412764175237,0.13759087905817236
40,6.952,-45.96,42.37,99.2275,80.6275,76.0,1,"[56, 60, 90]",3.0,0,1,,,4.894278771482231,0.13986600730699372
41,7.063,-45.75,42.88,99.28,80.755,76.0,1,"[56, 60, 90]",3.0,0,1,,,5.0321645938136035,0.1378858223313726
42,7.163,-45.56,43.35,99.3275,80.8725,76.0,1,"[56, 60, 90]",3.0,0,1,,,5.158902512369975,0.12673791855637173
43,7.275,-45.35,43.86,99.38,81.0,76.0,1,"[56, 60, 90]",3.0,0,1,,,5.296788334701348,0.1378858223313726
44,7.385,-45.14,44.38,99.4325,81.13,76.0,1,"[56, 60, 90]",3.0,0,1,,,5.436989083629446,0.1402007489280983
45,7.496,-44.94,44.89,99.4825,81.2575,76.0,1,"[56, 60, 90]",3.0,0,1,,,5.573942542877466,0.13695345924802016
46,7.607,-44.74,45.41,99.5325,81.38749999999999,76.0,1,"[56, 60, 90]",3.0,0,1,,,5.713226425649302,0.1392838827718359
47,7.719,-44.54,45.93,99.5825,81.5175,76.0,1,"[56, 60, 90]",3.0,0,1,,,5.852510308421151,0.13928388277184922
