,Id,GraphId,graph_element_type,nodeNr,nodeCentroid_x,nodeCentroid_z,nodeRadius,edgeStart,edgeEnd,X_Coor,Z_Coor
0,1,1,Node,0.0,5.0,85.0,4.5,,,4,85
1,2,1,Node,0.0,5.0,85.0,4.5,,,5,85
2,3,1,Node,0.0,5.0,85.0,4.5,,,5,86
3,4,1,Node,1.0,13.0,78.0,2.0,,,13,78
4,5,1,Node,2.0,14.0,81.0,3.5,,,14,80
5,6,1,Node,2.0,14.0,81.0,3.5,,,14,81
6,7,1,Node,2.0,14.0,81.0,3.5,,,15,81
7,8,1,Node,3.0,18.0,68.0,3.5,,,17,68
8,9,1,Node,3.0,18.0,68.0,3.5,,,18,67
9,10,1,Node,3.0,18.0,68.0,3.5,,,18,68
10,11,1,Node,3.0,18.0,68.0,3.5,,,19,67
11,12,1,Node,4.0,18.0,81.0,4.0,,,17,81
12,13,1,Node,4.0,18.0,81.0,4.0,,,18,80
13,14,1,Node,4.0,18.0,81.0,4.0,,,18,81
14,15,1,Node,4.0,18.0,81.0,4.0,,,19,81
15,16,1,Node,5.0,21.0,75.0,2.5,,,21,75
16,17,1,Node,6.0,22.0,99.0,5.0,,,21,99
17,18,1,Node,6.0,22.0,99.0,5.0,,,22,99
18,19,1,Node,6.0,22.0,99.0,5.0,,,22,100
19,20,1,Node,7.0,25.0,104.0,4.5,,,24,104
20,21,1,Node,7.0,25.0,104.0,4.5,,,25,103
21,22,1,Node,7.0,25.0,104.0,4.5,,,25,104
22,23,1,Node,7.0,25.0,104.0,4.5,,,25,105
23,24,1,Node,7.0,25.0,104.0,4.5,,,26,103
24,25,1,Node,8.0,26.0,97.0,5.0,,,25,97
25,26,1,Node,8.0,26.0,97.0,5.0,,,26,96
26,27,1,Node,8.0,26.0,97.0,5.0,,,26,97
27,28,1,Node,9.0,26.0,87.0,2.0,,,26,87
28,29,1,Node,10.0,28.0,89.0,4.0,,,28,89
29,30,1,Node,10.0,28.0,89.0,4.0,,,28,90
30,31,1,Node,10.0,28.0,89.0,4.0,,,29,89
31,32,1,Node,11.0,29.0,34.0,2.0,,,29,34
32,33,1,Node,12.0,31.0,110.0,4.0,,,30,110
33,34,1,Node,12.0,31.0,110.0,4.0,,,31,110
34,35,1,Node,12.0,31.0,110.0,4.0,,,31,111
35,36,1,Node,13.0,31.0,43.0,2.0,,,31,43
36,37,1,Node,14.0,31.0,60.0,5.0,,,31,60
37,38,1,Node,15.0,34.0,48.0,2.5,,,34,48
38,39,1,Node,16.0,34.0,65.0,4.5,,,34,64
39,40,1,Node,16.0,34.0,65.0,4.5,,,34,65
40,41,1,Node,16.0,34.0,65.0,4.5,,,35,65
41,42,1,Node,16.0,34.0,65.0,4.5,,,34,66
42,43,1,Node,17.0,35.0,11.0,3.5,,,35,11
43,44,1,Node,18.0,37.0,40.0,6.0,,,36,41
44,45,1,Node,18.0,37.0,40.0,6.0,,,37,40
45,46,1,Node,18.0,37.0,40.0,6.0,,,37,41
46,47,1,Node,18.0,37.0,40.0,6.0,,,37,42
47,48,1,Node,18.0,37.0,40.0,6.0,,,37,39
48,49,1,Node,18.0,37.0,40.0,6.0,,,38,39
49,50,1,Node,18.0,37.0,40.0,6.0,,,38,38
50,51,1,Node,19.0,37.0,47.0,3.5,,,36,47
51,52,1,Node,19.0,37.0,47.0,3.5,,,37,46
52,53,1,Node,19.0,37.0,47.0,3.5,,,37,47
53,54,1,Node,20.0,38.0,53.0,5.0,,,37,53
54,55,1,Node,20.0,38.0,53.0,5.0,,,38,52
55,56,1,Node,20.0,38.0,53.0,5.0,,,38,53
56,57,1,Node,20.0,38.0,53.0,5.0,,,39,53
57,58,1,Node,21.0,38.0,80.0,3.5,,,38,80
58,59,1,Node,21.0,38.0,80.0,3.5,,,38,81
59,60,1,Node,21.0,38.0,80.0,3.5,,,39,80
60,61,1,Node,22.0,38.0,100.0,2.5,,,38,99
61,62,1,Node,22.0,38.0,100.0,2.5,,,38,100
62,63,1,Node,22.0,38.0,100.0,2.5,,,39,100
63,64,1,Node,22.0,38.0,100.0,2.5,,,38,101
64,65,1,Node,23.0,39.0,20.0,2.0,,,39,19
65,66,1,Node,23.0,39.0,20.0,2.0,,,39,20
66,67,1,Node,23.0,39.0,20.0,2.0,,,40,20
67,68,1,Node,23.0,39.0,20.0,2.0,,,39,21
68,69,1,Node,24.0,45.0,76.0,4.0,,,44,76
69,70,1,Node,24.0,45.0,76.0,4.0,,,45,75
70,71,1,Node,24.0,45.0,76.0,4.0,,,45,76
71,72,1,Node,24.0,45.0,76.0,4.0,,,46,76
72,73,1,Node,25.0,45.0,73.0,3.5,,,45,73
73,74,1,Node,26.0,47.0,82.0,3.5,,,47,82
74,75,1,Node,27.0,49.0,103.0,2.0,,,48,103
75,76,1,Node,27.0,49.0,103.0,2.0,,,49,103
76,77,1,Node,27.0,49.0,103.0,2.0,,,49,104
77,78,1,Node,28.0,50.0,79.0,4.0,,,50,78
78,79,1,Node,28.0,50.0,79.0,4.0,,,50,79
79,80,1,Node,28.0,50.0,79.0,4.0,,,51,79
80,81,1,Node,29.0,53.0,67.0,4.5,,,51,66
81,82,1,Node,29.0,53.0,67.0,4.5,,,51,67
82,83,1,Node,29.0,53.0,67.0,4.5,,,52,67
83,84,1,Node,29.0,53.0,67.0,4.5,,,53,67
84,85,1,Node,29.0,53.0,67.0,4.5,,,54,66
85,86,1,Node,29.0,53.0,67.0,4.5,,,54,67
86,87,1,Node,29.0,53.0,67.0,4.5,,,54,68
87,88,1,Node,30.0,52.0,39.0,4.5,,,52,39
88,89,1,Node,31.0,55.0,90.0,2.5,,,54,90
89,90,1,Node,31.0,55.0,90.0,2.5,,,55,90
90,91,1,Node,31.0,55.0,90.0,2.5,,,55,91
91,92,1,Node,31.0,55.0,90.0,2.5,,,56,90
92,93,1,Node,32.0,58.0,112.0,4.0,,,57,112
93,94,1,Node,32.0,58.0,112.0,4.0,,,58,112
94,95,1,Node,32.0,58.0,112.0,4.0,,,59,111
95,96,1,Node,32.0,58.0,112.0,4.0,,,59,112
96,97,1,Node,33.0,59.0,63.0,2.0,,,58,63
97,98,1,Node,33.0,59.0,63.0,2.0,,,59,62
98,99,1,Node,33.0,59.0,63.0,2.0,,,59,63
99,100,1,Node,34.0,60.0,72.0,5.0,,,59,72
100,101,1,Node,34.0,60.0,72.0,5.0,,,60,71
101,102,1,Node,34.0,60.0,72.0,5.0,,,60,72
102,103,1,Node,34.0,60.0,72.0,5.0,,,60,73
103,104,1,Node,35.0,60.0,88.0,4.0,,,60,87
104,105,1,Node,35.0,60.0,88.0,4.0,,,60,88
105,106,1,Node,35.0,60.0,88.0,4.0,,,61,88
106,107,1,Node,36.0,61.0,95.0,3.5,,,61,95
107,108,1,Node,37.0,62.0,67.0,2.5,,,62,67
108,109,1,Node,37.0,62.0,67.0,2.5,,,62,68
109,110,1,Node,37.0,62.0,67.0,2.5,,,63,67
110,111,1,Node,38.0,63.0,75.0,5.5,,,62,75
111,112,1,Node,38.0,63.0,75.0,5.5,,,63,74
112,113,1,Node,38.0,63.0,75.0,5.5,,,63,75
113,114,1,Node,38.0,63.0,75.0,5.5,,,63,76
114,115,1,Node,38.0,63.0,75.0,5.5,,,64,74
115,116,1,Node,39.0,66.0,94.0,5.5,,,65,94
116,117,1,Node,39.0,66.0,94.0,5.5,,,66,93
117,118,1,Node,39.0,66.0,94.0,5.5,,,66,94
118,119,1,Node,39.0,66.0,94.0,5.5,,,67,94
119,120,1,Node,40.0,66.0,104.0,3.0,,,65,104
120,121,1,Node,40.0,66.0,104.0,3.0,,,66,103
121,122,1,Node,40.0,66.0,104.0,3.0,,,66,104
122,123,1,Node,41.0,67.0,71.0,2.6,,,67,70
123,124,1,Node,41.0,67.0,71.0,2.6,,,67,71
124,125,1,Node,41.0,67.0,71.0,2.6,,,68,71
125,126,1,Node,42.0,69.0,18.0,3.0,,,68,18
126,127,1,Node,42.0,69.0,18.0,3.0,,,69,18
127,128,1,Node,42.0,69.0,18.0,3.0,,,69,19
128,129,1,Node,42.0,69.0,18.0,3.0,,,70,17
129,130,1,Node,43.0,69.0,52.0,3.0,,,68,52
130,131,1,Node,43.0,69.0,52.0,3.0,,,69,51
131,132,1,Node,43.0,69.0,52.0,3.0,,,69,52
132,133,1,Node,44.0,68.0,107.0,2.0,,,68,107
133,134,1,Node,45.0,70.0,45.0,6.5,,,69,45
134,135,1,Node,45.0,70.0,45.0,6.5,,,69,46
135,136,1,Node,45.0,70.0,45.0,6.5,,,70,45
136,137,1,Node,45.0,70.0,45.0,6.5,,,71,45
137,138,1,Node,45.0,70.0,45.0,6.5,,,72,44
138,139,1,Node,45.0,70.0,45.0,6.5,,,72,45
