,FirstNode,SecondNode
0,0,3
1,0,2
2,0,6
3,1,2
4,2,4
5,3,5
6,3,14
7,4,5
8,4,21
9,5,16
10,6,8
11,6,7
12,7,12
13,7,8
14,8,10
15,9,10
16,10,21
17,11,18
18,12,22
19,12,32
20,13,18
21,14,20
22,14,16
23,15,19
24,16,25
25,17,23
26,18,19
27,18,23
28,18,30
29,19,20
30,20,29
31,21,24
32,22,31
33,22,27
34,23,42
35,24,25
36,24,28
37,25,29
38,26,28
39,27,31
40,27,32
41,28,35
42,29,33
43,29,34
44,30,47
45,30,45
46,31,35
47,32,40
48,32,49
49,33,43
50,33,37
51,34,37
52,34,38
53,35,39
54,36,39
55,37,41
56,38,52
57,38,41
58,39,46
59,40,46
60,40,44
61,41,51
62,42,48
63,43,45
64,43,54
65,45,58
66,45,59
67,46,52
68,47,48
69,47,53
70,48,55
71,49,57
72,49,72
73,50,53
74,51,54
75,51,56
76,52,56
77,52,57
78,53,58
79,54,59
80,54,60
81,55,89
82,55,61
83,56,76
84,57,71
85,57,66
86,58,61
87,58,62
88,59,62
89,59,69
90,59,70
91,60,76
92,60,70
93,61,67
94,62,68
95,63,64
96,64,72
97,65,68
98,66,71
99,66,80
100,67,74
101,67,77
102,68,77
103,68,69
104,69,78
105,70,75
106,71,88
107,72,79
108,73,79
109,74,82
110,74,83
111,75,78
112,75,90
113,76,90
114,77,84
115,78,98
116,79,81
117,80,86
118,80,81
119,81,92
120,82,89
121,82,87
122,83,87
123,83,84
124,84,85
125,85,91
126,85,97
127,86,88
128,86,96
129,87,94
130,88,90
131,88,95
132,89,93
133,90,99
134,90,103
135,91,94
136,91,102
137,91,107
138,92,96
139,92,112
140,93,114
141,93,113
142,94,115
143,95,100
144,96,101
145,96,104
146,97,98
147,97,102
148,98,99
149,99,108
150,100,101
151,101,105
152,102,104
153,102,107
154,102,119
155,103,108
156,103,105
157,105,106
158,105,128
159,107,115
160,108,111
161,109,112
162,110,113
163,111,116
164,111,122
165,112,118
166,113,133
167,114,123
168,114,115
169,115,127
170,116,121
171,116,120
172,117,118
173,118,126
174,119,127
175,119,124
176,120,130
177,120,125
178,121,124
179,121,125
180,122,130
181,122,131
182,123,133
183,123,129
184,124,135
185,125,134
186,126,128
187,126,137
188,127,142
189,128,132
190,130,134
191,131,152
192,131,136
193,132,136
194,132,140
195,133,141
196,134,135
197,134,145
198,135,138
199,136,139
200,137,143
201,137,140
202,137,150
203,138,142
204,138,145
205,139,144
206,139,146
207,140,146
208,142,147
209,145,147
210,146,148
211,146,149
212,147,155
213,149,150
214,149,156
215,150,151
216,152,153
217,152,154
218,153,155
219,153,154
220,154,156
221,155,157
222,156,157
223,157,158
